Code,Occupation,National Shortage Rating,New South Wales Shortage Rating,Victoria Shortage Rating,Queensland Shortage Rating,South Australia Shortage Rating,Western Australia Shortage Rating,Tasmania Shortage Rating,Northern Territory Shortage Rating,Australian Capital Territory Shortage Rating,Skill Level
212114,Television Presenter,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212211,Author,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212212,Book or Script Editor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212311,"Art Director (Film, Television or Stage)",No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212312,"Director (Film, Television, Radio or Stage)",No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212313,Director of Photography,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212314,Film and Video Editor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
212315,Program Director (Television or Radio),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212316,Stage Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212317,Technical Director,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212318,Video Producer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212399,"Film, Television, Radio and Stage Directors nec",No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212411,Copywriter,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212412,Newspaper or Periodical Editor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212413,Print Journalist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212414,Radio Journalist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212415,Technical Writer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212416,Television Journalist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
212499,Journalists and Other Writers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
221111,Accountant (General),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
221112,Management Accountant,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
221113,Taxation Accountant,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
221211,Company Secretary,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
221212,Corporate Treasurer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
221213,External Auditor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
221214,Internal Auditor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
222111,Commodities Trader,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
222112,Finance Broker,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
222113,Insurance Broker,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
222199,Financial Brokers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
222211,Financial Market Dealer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
222212,Futures Trader,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
222213,Stockbroking Dealer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
222299,Financial Dealers nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
222311,Financial Investment Adviser,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
222312,Financial Investment Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
223111,Human Resource Adviser,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,No shortage,Shortage,No shortage,1
223112,Recruitment Consultant,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
223113,Workplace Relations Adviser,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
223311,Training and Development Professional,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224111,Actuary,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,1
224112,Mathematician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224114,Data Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224115,Data Scientist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224116,Statistician,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224211,Archivist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224212,Gallery or Museum Curator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224213,Health Information Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224214,Records Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224311,Economist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224411,Intelligence Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224412,Policy Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224511,Land Economist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224512,Valuer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224611,Librarian,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224712,Organisation and Methods Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224713,Management Consultant,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224714,Supply Chain Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224911,Electorate Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224912,Liaison Officer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224913,Migration Agent / Immigration Consultant,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224914,Patents Examiner,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
224999,Information and Organisation Professionals nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225111,Advertising Specialist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225112,Market Research Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225113,Marketing Specialist,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225114,Content Creator (Marketing),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225115,Digital Marketing Analyst,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225211,ICT Account Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225212,ICT Business Development Manager,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225213,ICT Sales Representative,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225311,Public Relations Professional,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225411,Sales Representative (Industrial Products),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225412,Sales Representative (Medical and Pharmaceutical Products),No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
225499,Technical Sales Representatives nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
231111,Aeroplane Pilot,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
231112,Air Traffic Controller,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
231113,Flying Instructor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,Shortage,1
231114,Helicopter Pilot,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
231199,Air Transport Professionals nec,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
231211,Master Fisher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,2
231212,Ship's Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
231213,Ship's Master,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
231214,Ship's Officer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
231215,Marine Surveyor,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
231299,Marine Transport Professionals nec,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
232111,Architect,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232112,Landscape Architect,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
232212,Surveyor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
232213,Cartographer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232214,Other Spatial Scientist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
232311,Fashion Designer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232312,Industrial Designer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232313,Jewellery Designer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232411,Graphic Designer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232412,Illustrator,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232413,Multimedia Designer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232414,Web Designer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
232511,Interior Designer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,2
232611,Urban and Regional Planner,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Regional shortage,Shortage,Shortage,1
233111,Chemical Engineer,No shortage,No shortage,No shortage,Shortage,No shortage,No shortage,No shortage,Shortage,No shortage,1
233112,Materials Engineer,No shortage,No shortage,Shortage,Shortage,No shortage,No shortage,Shortage,No shortage,No shortage,1
233211,Civil Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233212,Geotechnical Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233213,Quantity Surveyor,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233214,Structural Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233215,Transport Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233311,Electrical Engineer,Shortage,Shortage,No shortage,No shortage,Shortage,Shortage,No shortage,Shortage,No shortage,1
233411,Electronics Engineer,No shortage,No shortage,No shortage,Shortage,Shortage,No shortage,No shortage,No shortage,Shortage,1
233511,Industrial Engineer,No shortage,No shortage,No shortage,Shortage,Shortage,No shortage,No shortage,Shortage,Shortage,1
233512,Mechanical Engineer,No shortage,No shortage,No shortage,No shortage,Shortage,Shortage,No shortage,Shortage,No shortage,1
233513,Production or Plant Engineer,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,No shortage,1
233611,Mining Engineer (excluding Petroleum),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
233612,Petroleum Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,1
233911,Aeronautical Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,Shortage,1
233912,Agricultural Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,No shortage,No shortage,1
233913,Biomedical Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,No shortage,Shortage,No shortage,Shortage,1
